ReferenceTime,CameraFrameNumber,CameraFrameTime,Background,Fiber_0,Fiber_1,Fiber_2,Fiber_3
933019.53664,64895,672189662198296,258.844444444444,799.793014230272,450.469035532995,260.889395667047,257.429441624365
933019.636672,64897,672189762233056,256.812698412698,809.976714100906,451.833502538071,262.567844925884,256.714720812183
933019.736704,64899,672189862266056,256.812698412698,803.353169469599,454.107614213198,260.743443557583,256.519796954315
933019.836736,64901,672189962300056,256.406349206349,801.366106080207,454.88730964467,260.30558722919,256.97461928934
933019.9368,64903,672190062333272,256.406349206349,787.705045278137,447.545177664975,260.743443557583,256.649746192893
933020.036832,64905,672190162365352,258.234920634921,791.099611901682,457.941116751269,260.159635119726,257.754314720812
933020.136864,64907,672190262397888,257.219047619048,775.368693402329,450.339086294416,259.794754846066,256.909644670051
933020.236896,64909,672190362430192,256.812698412698,787.373868046572,458.395939086294,259.794754846066,256.909644670051
933020.336928,64911,672190462463272,257.015873015873,773.961190168176,444.751269035533,260.816419612315,256.909644670051
933020.43696,64913,672190562495296,257.015873015873,779.342820181113,436.629441624365,262.275940706956,256.97461928934
933020.536992,64915,672190662527352,256.812698412698,792.8382923674,448.324873096447,260.670467502851,257.104568527919
933020.637024,64917,672190762560456,257.422222222222,778.349288486417,440.917766497462,260.889395667047,257.429441624365
933020.737056,64919,672190862591352,256.812698412698,774.20957309185,443.256852791878,261.035347776511,257.754314720812
933020.837088,64921,672190962625160,256.609523809524,776.031047865459,447.545177664975,260.086659064994,257.039593908629
933020.93712,64923,672191062657192,257.422222222222,775.948253557568,447.480203045685,261.400228050171,257.039593908629
933021.037152,64925,672191162690216,256.406349206349,769.24191461837,447.415228426396,260.670467502851,257.494416243655
933021.137184,64927,672191262724864,257.828571428571,772.305304010349,453.003045685279,261.254275940707,257.169543147208
933021.237216,64929,672191362757000,256.406349206349,765.267787839586,447.805076142132,261.473204104903,257.364467005076
933021.337248,64931,672191462787216,257.422222222222,782.985769728331,448.649746192893,260.889395667047,257.494416243655
933021.43728,64933,672191562822296,257.219047619048,765.350582147477,450.01421319797,260.743443557583,256.97461928934
933021.537312,64935,672191662854320,256.406349206349,755.249676584735,439.488324873096,260.086659064994,256.584771573604
933021.637344,64937,672191762887944,256.203174603175,753.593790426908,433.640609137056,260.086659064994,257.104568527919
933021.737376,64939,672191862920104,257.219047619048,760.382923673997,446.115736040609,260.378563283922,256.779695431472
933021.83744,64941,672191962954408,257.219047619048,749.454075032342,436.044670050761,261.692132269099,256.909644670051
933021.937472,64943,672192062986320,257.015873015873,765.267787839586,447.870050761421,261.473204104903,256.779695431472
933022.037504,64945,672192163019000,256.812698412698,761.79042690815,439.293401015228,259.867730900798,257.169543147208
933022.137536,64947,672192263052056,257.422222222222,749.619663648124,440.852791878173,261.035347776511,256.909644670051
933022.237568,64949,672192363084240,257.219047619048,752.020698576973,436.239593908629,261.181299885975,257.039593908629
933022.3376,64951,672192463119352,257.015873015873,750.61319534282,429.157360406091,261.327251995439,257.104568527919
933022.437632,64953,672192563151976,257.828571428571,750.530401034929,443.971573604061,260.889395667047,256.97461928934
933022.537664,64955,672192663183968,256.812698412698,751.027166882277,442.607106598985,260.451539338655,256.844670050761
933022.637696,64957,672192763213320,257.422222222222,751.85510996119,443.971573604061,261.838084378563,257.104568527919
933022.737728,64959,672192863249376,256.609523809524,746.556274256145,449.94923857868,261.035347776511,256.909644670051
933022.83776,64961,672192963281296,256.812698412698,752.517464424321,439.228426395939,260.816419612315,257.559390862944
933022.937792,64963,672193063314184,256.812698412698,756.243208279431,435.070050761421,261.035347776511,257.559390862944
933023.037824,64965,672193163345320,257.422222222222,751.19275549806,440.268020304569,261.984036488027,257.039593908629
933023.137856,64967,672193263376616,256.609523809524,774.540750323415,436.824365482234,261.400228050171,257.169543147208
933023.237888,64969,672193363408320,256.812698412698,764.605433376455,453.262944162437,260.524515393387,257.039593908629
933023.33792,64971,672193463443136,256.609523809524,765.681759379043,439.293401015228,260.524515393387,256.844670050761
933023.437952,64973,672193563473568,257.828571428571,763.197930142303,434.095431472081,261.108323831243,256.97461928934
933023.537984,64975,672193663508352,257.422222222222,757.485122897801,438.773604060914,260.086659064994,256.909644670051
933023.638048,64977,672193763541352,256.609523809524,770.815006468305,444.491370558376,260.30558722919,257.234517766497
933023.73808,64979,672193863573136,256.406349206349,755.001293661061,442.08730964467,260.159635119726,256.649746192893
933023.838112,64981,672193963605352,256.609523809524,746.721862871928,438.058883248731,260.743443557583,256.909644670051
933023.938144,64983,672194063638352,256.609523809524,757.567917205692,433.315736040609,260.597491448119,257.299492385787
933024.038176,64985,672194163670240,256.609523809524,755.001293661061,438.838578680203,262.057012542759,256.909644670051
933024.138208,64987,672194263705136,257.219047619048,760.300129366106,447.740101522843,261.984036488027,257.039593908629
933024.23824,64989,672194363738320,256.609523809524,754.256144890039,437.993908629442,262.859749144812,258.01421319797
933024.338272,64991,672194463770568,257.828571428571,745.976714100906,438.318781725888,259.94070695553,257.234517766497
933024.438304,64993,672194563802080,257.219047619048,768.082794307891,450.92385786802,260.816419612315,256.909644670051
933024.538336,64995,672194663837216,256.406349206349,777.355756791721,446.05076142132,261.838084378563,257.169543147208
933024.638368,64997,672194763870376,257.422222222222,767.172056921087,433.380710659899,259.429874572406,256.714720812183
933024.7384,64999,672194863902136,257.219047619048,749.95084087969,431.23654822335,260.159635119726,257.689340101523
933024.838432,65001,672194963935160,257.625396825397,760.796895213454,436.369543147208,260.597491448119,256.97461928934
933024.938464,65003,672195063969296,257.219047619048,756.243208279431,438.643654822335,260.524515393387,256.97461928934
933025.038496,65005,672195164000240,257.625396825397,759.223803363519,438.838578680203,262.129988597491,256.844670050761
933025.138528,65007,672195264034352,257.015873015873,760.796895213454,431.691370558376,260.378563283922,257.039593908629
933025.238592,65009,672195364067296,257.015873015873,754.587322121604,430.586802030457,261.035347776511,257.039593908629
933025.338624,65011,672195464099272,256.406349206349,770.815006468305,439.033502538071,261.546180159635,257.169543147208
933025.438656,65013,672195564129320,257.015873015873,743.244501940492,434.485279187817,262.348916761688,256.649746192893
933025.538688,65015,672195664161352,256.609523809524,765.019404915912,438.12385786802,260.597491448119,256.909644670051
933025.63872,65017,672195764194320,257.015873015873,754.256144890039,445.206091370558,260.670467502851,257.104568527919
933025.738752,65019,672195864227080,257.828571428571,755.746442432083,433.380710659899,261.327251995439,257.104568527919
933025.838784,65021,672195964261240,256.609523809524,757.153945666235,434.485279187817,260.378563283922,256.97461928934
933025.938816,65023,672196064292080,256.406349206349,765.51617076326,455.082233502538,261.692132269099,257.429441624365
933026.038848,65025,672196164326888,257.015873015873,765.930142302717,431.366497461929,260.962371721779,256.779695431472
933026.13888,65027,672196264359488,256.203174603175,755.994825355757,440.462944162437,260.889395667047,257.104568527919
933026.238912,65029,672196364391320,256.812698412698,749.702457956016,436.499492385787,261.035347776511,256.844670050761
933026.338944,65031,672196464421456,257.015873015873,744.238033635188,431.886294416244,260.743443557583,256.844670050761
933026.438976,65033,672196564456184,256.812698412698,777.190168175938,451.573604060914,259.867730900798,256.909644670051
933026.539008,65035,672196664487352,256.609523809524,757.816300129366,447.02538071066,261.181299885975,256.519796954315
933026.63904,65037,672196764518352,258.031746031746,758.478654592497,441.762436548223,262.057012542759,257.494416243655
933026.739072,65039,672196864553272,256.609523809524,752.351875808538,440.722842639594,261.619156214367,257.234517766497
933026.839104,65041,672196964586352,257.422222222222,746.804657179819,437.019289340102,260.159635119726,256.97461928934
933026.939136,65043,672197064618352,257.015873015873,751.85510996119,438.12385786802,262.129988597491,257.754314720812
933027.039168,65045,672197164651352,257.219047619048,760.631306597671,450.534010152284,260.597491448119,257.039593908629
933027.1392,65047,672197264681296,256.406349206349,750.61319534282,442.152284263959,260.597491448119,256.844670050761
933027.239264,65049,672197364716160,257.015873015873,742.002587322122,433.315736040609,260.670467502851,257.104568527919
933027.339296,65051,672197464746456,257.219047619048,748.377749029754,437.734010152284,261.765108323831,257.299492385787
933027.439328,65053,672197564780296,258.438095238095,771.311772315653,444.166497461929,260.378563283922,257.429441624365
933027.53936,65055,672197664813320,256.812698412698,756.160413971539,441.11269035533,260.159635119726,257.169543147208
933027.639392,65057,672197764845136,256.812698412698,762.121604139715,436.109644670051,261.692132269099,257.169543147208
933027.739424,65059,672197864878888,257.422222222222,764.191461836999,440.527918781726,260.597491448119,257.039593908629
933027.839456,65061,672197964910320,256.406349206349,753.6765847348,438.708629441624,261.254275940707,256.714720812183
933027.939488,65063,672198064941000,257.015873015873,744.98318240621,438.903553299492,260.743443557583,257.364467005076
933028.03952,65065,672198164971296,257.015873015873,749.122897800776,433.770558375635,261.108323831243,256.844670050761
933028.139552,65067,672198265006320,256.609523809524,737.697283311772,431.821319796954,260.743443557583,257.169543147208
933028.239584,65069,672198365038376,257.015873015873,746.059508408797,434.550253807107,260.086659064994,257.039593908629
933028.339616,65071,672198465071192,256.609523809524,755.5808538163,445.660913705584,260.30558722919,257.559390862944
933028.439648,65073,672198565103296,257.625396825397,744.652005174644,435.784771573604,261.984036488027,256.909644670051
933028.53968,65075,672198665136160,256.609523809524,741.174644243208,435.979695431472,260.597491448119,257.104568527919
933028.639712,65077,672198765166432,258.031746031746,746.88745148771,443.06192893401,260.816419612315,257.429441624365
