ReferenceTime,CameraFrameNumber,CameraFrameTime,Background,Fiber_0,Fiber_1,Fiber_2,Fiber_3
933019.569984,38919,672201677709352,257.828571428571,520.903078677309,433.988597491448,272.503553299492,268.207084468665
933019.670016,38920,672201777744296,257.625396825397,512.656784492588,446.102622576967,272.958375634518,270.125340599455
933019.770048,38921,672201877777056,257.219047619048,550.166476624858,440.410490307868,270.944162436548,269.079019073569
933019.87008,38922,672201977812104,256.812698412698,548.488027366021,444.205245153934,273.673096446701,270.241598546776
933019.970112,38923,672202077844320,257.828571428571,550.385404789054,454.567844925884,272.568527918782,271.578564940963
933020.070144,38924,672202177875616,256.609523809524,547.539338654504,444.278221208666,273.673096446701,270.764759309718
933020.170176,38925,672202277908296,257.219047619048,541.701254275941,441.067274800456,272.373604060914,268.904632152589
933020.27024,38926,672202377943808,257.422222222222,533.309007981756,432.018244013683,269.644670050761,271.985467756585
933020.370272,38927,672202477976272,257.219047619048,536.374002280502,442.015963511973,270.619289340102,270.415985467757
933020.470304,38928,672202578007320,258.438095238095,534.403648802737,450.627137970353,273.413197969543,270.009082652134
933020.570336,38929,672202678039296,258.438095238095,522.435575826682,435.740022805017,271.658883248731,270.764759309718
933020.670368,38930,672202778075272,257.625396825397,517.692132269099,433.039908779932,272.958375634518,268.904632152589
933020.7704,38931,672202878106352,256.406349206349,525.57354618016,442.307867730901,273.218274111675,270.009082652134
933020.870432,38932,672202978139272,256.609523809524,519.88141391106,442.672748004561,274.647715736041,271.05540417802
933020.970464,38933,672203078172216,257.015873015873,520.830102622577,440.702394526796,273.153299492386,269.892824704814
933021.070496,38934,672203178204192,257.422222222222,536.738882554162,437.929304446978,274.71269035533,271.694822888283
933021.170528,38935,672203278239352,257.422222222222,552.136830102623,431.434435575827,271.593908629442,267.858310626703
933021.27056,38936,672203378270320,257.015873015873,523.09236031927,445.737742303307,274.387817258883,269.602179836512
933021.370592,38937,672203478306296,257.219047619048,515.57582668187,445.445838084379,273.088324873096,268.672116257947
933021.470624,38938,672203578336864,257.625396825397,514.189281641961,445.518814139111,272.113705583756,269.369663941871
933021.570656,38939,672203678369240,257.219047619048,519.224629418472,444.132269099202,273.673096446701,270.939146230699
933021.670688,38940,672203778402296,257.828571428571,531.703534777651,443.037628278221,273.932994923858,269.834695731153
933021.77072,38941,672203878437296,256.812698412698,536.228050171038,429.828962371722,272.69847715736,269.544050862852
933021.870752,38942,672203978470784,258.438095238095,535.060433295325,428.953249714937,271.463959390863,272.566757493188
933021.970784,38943,672204078503136,258.031746031746,517.108323831243,446.832383124287,275.752284263959,271.927338782925
933022.070848,38944,672204178533080,257.219047619048,504.191562143672,462.30330672748,273.413197969543,271.520435967302
933022.17088,38945,672204278567456,257.015873015873,498.134549600912,449.313568985177,274.777664974619,270.822888283379
933022.270912,38946,672204378600104,257.422222222222,509.007981755986,440.921322690992,272.76345177665,271.520435967302
933022.370944,38947,672204478634056,257.015873015873,504.775370581528,439.388825541619,273.283248730964,270.590372388737
933022.470976,38948,672204578668352,257.422222222222,508.716077537058,447.124287343216,271.78883248731,271.520435967302
